"Top 999 values of context.city","Top 999 values of context.bpp_id","Count of records"
"std:080","biz.enstore.com","11,516"
"std:080","webapi.magicpin.in/oms_partner/ondc",40
"std:022","biz.enstore.com","7,533"
"std:022","webapi.magicpin.in/oms_partner/ondc",35
"std:0422","biz.enstore.com","6,349"
"std:044","biz.enstore.com","3,438"
"std:011","webapi.magicpin.in/oms_partner/ondc","2,143"
"std:0821","biz.enstore.com","1,538"
"std:040","biz.enstore.com","1,420"
"std:040","webapi.magicpin.in/oms_partner/ondc",104
"std:0120","biz.enstore.com",323
"std:0824","biz.enstore.com",275
"std:0431","biz.enstore.com",138
"std:0452","biz.enstore.com",138
"std:0413","biz.enstore.com",137
"std:0416","biz.enstore.com",137
"std:0491","biz.enstore.com",137
"std:0820","biz.enstore.com",137
"std:0424","biz.enstore.com",136
"std:033","biz.enstore.com",59
"std:0612","biz.enstore.com",47
"std:0832","biz.enstore.com",42
"std:0522","biz.enstore.com",37
"std:0172","biz.enstore.com",36
"std:0731","biz.enstore.com",36
"std:020","biz.enstore.com",32
"std:0755","biz.enstore.com",28
"std:0361","biz.enstore.com",21
"std:0712","biz.enstore.com",18
"std:0161","biz.enstore.com",17
"std:0183","biz.enstore.com",14
"std:0751","biz.enstore.com",13
"std:0512","biz.enstore.com",12
"std:0551","biz.enstore.com",12
"std:0562","biz.enstore.com",12
"std:0484","biz.enstore.com",10
"std:079","biz.enstore.com",10
"std:0261","biz.enstore.com",4
"std:0891","biz.enstore.com",4
"std:0836","biz.enstore.com",3
"std:0253","biz.enstore.com",2
"std:0265","biz.enstore.com",2
"std:0421","biz.enstore.com",1
"std:0487","biz.enstore.com",1
"std:08572","biz.enstore.com",1
