"created_at","bpp_details.bpp_id","location_details.address.name"
"Jul 10, 2025 @ 12:40:02.696","biz.enstore.com","-"
"Jul 10, 2025 @ 12:40:02.142","biz.enstore.com","-"
"Jul 10, 2025 @ 12:40:00.282","biz.enstore.com","-"
"Jul 10, 2025 @ 12:40:00.113","webapi.magicpin.in/oms_partner/ondc","Hola Pasta - Fresh Gourmet Pasta"
"Jul 10, 2025 @ 12:39:59.146","biz.enstore.com","-"
"Jul 10, 2025 @ 12:39:58.344","webapi.magicpin.in/oms_partner/ondc","The Biryani King"
"Jul 10, 2025 @ 12:39:57.363","webapi.magicpin.in/oms_partner/ondc","WeFit - Protein Bowls, Salads & Sandwiches"
"Jul 10, 2025 @ 12:39:57.360","webapi.magicpin.in/oms_partner/ondc","Boom - Sub Style Sandwiches"
"Jul 10, 2025 @ 12:39:57.348","webapi.magicpin.in/oms_partner/ondc","Bhatti Chicken - Grilled, NOT Fried!"
"Jul 10, 2025 @ 12:39:57.107","biz.enstore.com","-"
"Jul 10, 2025 @ 12:39:56.627","webapi.magicpin.in/oms_partner/ondc","King Of Juices"
"Jul 10, 2025 @ 12:39:56.621","webapi.magicpin.in/oms_partner/ondc","Jo Baka- Khichdi Mood Anusaar"
"Jul 10, 2025 @ 12:39:55.826","biz.enstore.com","-"
"Jul 10, 2025 @ 12:39:55.117","biz.enstore.com","-"
"Jul 10, 2025 @ 12:39:54.481","biz.enstore.com","-"
"Jul 10, 2025 @ 12:39:54.196","biz.enstore.com","-"
"Jul 10, 2025 @ 12:39:52.432","biz.enstore.com","-"
"Jul 10, 2025 @ 12:39:51.938","biz.enstore.com","-"
"Jul 10, 2025 @ 12:39:51.693","biz.enstore.com","-"
"Jul 10, 2025 @ 12:39:51.394","webapi.magicpin.in/oms_partner/ondc","The Barn Grill"
"Jul 10, 2025 @ 12:39:50.772","biz.enstore.com","-"
"Jul 10, 2025 @ 12:39:49.698","biz.enstore.com","-"
"Jul 10, 2025 @ 12:39:49.471","biz.enstore.com","-"
"Jul 10, 2025 @ 12:39:46.390","webapi.magicpin.in/oms_partner/ondc","Hola Pasta - Fresh Gourmet Pasta"
"Jul 10, 2025 @ 12:39:45.606","biz.enstore.com","-"
"Jul 10, 2025 @ 12:39:43.368","biz.enstore.com","-"
"Jul 10, 2025 @ 12:39:43.245","biz.enstore.com","-"
"Jul 10, 2025 @ 12:39:43.215","biz.enstore.com","-"
"Jul 10, 2025 @ 12:39:42.618","webapi.magicpin.in/oms_partner/ondc","The Beer Cafe"
"Jul 10, 2025 @ 12:39:40.592","biz.enstore.com","-"
"Jul 10, 2025 @ 12:39:40.206","webapi.magicpin.in/oms_partner/ondc","WeFit - Protein Bowls, Salads & Sandwiches"
"Jul 10, 2025 @ 12:39:40.203","webapi.magicpin.in/oms_partner/ondc","WeFit - Protein Bowls, Salads & Sandwiches"
"Jul 10, 2025 @ 12:39:40.200","webapi.magicpin.in/oms_partner/ondc","WeFit - Protein Bowls, Salads & Sandwiches"
"Jul 10, 2025 @ 12:39:40.032","webapi.magicpin.in/oms_partner/ondc","Flavours Of China"
"Jul 10, 2025 @ 12:39:39.969","biz.enstore.com","-"
"Jul 10, 2025 @ 12:39:38.879","webapi.magicpin.in/oms_partner/ondc","Boom - Sub Style Sandwiches"
"Jul 10, 2025 @ 12:39:38.863","webapi.magicpin.in/oms_partner/ondc","Boom - Sub Style Sandwiches"
"Jul 10, 2025 @ 12:39:37.931","biz.enstore.com","-"
